text,True_Sentiment,Model_D_Guessed
thank you so much for your products pakiayos lang yung packaging wag masyado mag expect sa boxes nila as in kundi yupi sira naman kaya please paki ayos po para ka aya aya tingnan sa mga buyers,Neutral,Negative
kala ko may pang scoop wala pala and nahawa sya sa mask and hindi sya longlasting kunting kain mo namumuo na sa labi pero mabilis yung shipping process,Neutral,Negative
for me di naman masiado nakaka kuha dumi pati mga buhok aso nya kaya sa video ung dating deerma na vacuum ko mas better ba as seen on the video di siya okay for me thums down,Negative,Neutral
dont think the color is maroon think its red but it okay naman no defects,Neutral,Negative
recieved the product kaso wlang remote sa ad niya with remote sana klarohin sa seller pra nman hindi mag expect ang customer,Neutral,Negative
okay ang gomo tagal ko na tong gamit although nag karoon magandang experience naayos naman si seller at mabait yung seller kudos sayo,Neutral,Positive
adali masira month lang na gamit on and off na xa,Negative,Neutral
bilis dumating super kaso ampanget nung packaging halos bukas na yung box tapos nagsstuck dun sa clip yong bottom part nong lens pero ayos naman siguro waha,Neutral,Negative
ang ganda product na natanggap ko at ang bilis din delivery but may problema ung order ko ordered items pero recieved only items sana maideliver ung kulang na item sayang din kasi nabayadan ko na kaya please seller sana maideliver sakin ung kulang na,Neutral,Positive
okay but for calls tried for refund but can prove it naman pag yung mic may sira tried with different people to call me di gumagana yung microphone di nila ako naririnig may ingay daw even though nasa quiet place ako,Neutral,Negative
really perfect that came up with this hindi na hassle maglagay highlight sa inner corner eye for the effecf excited to use it,Positive,Neutral
first ung box nya hindi ung black which is nakita ko sa reviews na ung box nila is original box na ung black second ung remote nya na intsik which is paano ko naman malalaman alin pipindutin kung intsik sya which is un nga huhulaan ko na lang so far,Neutral,Negative
receive the item pero bkit maingay para kang nakasakay sa eroplano kpag iopen yun fan,Neutral,Negative
ok juskoooo di pala to pwedeng banlian tubig natutunaw to unlike sa binili ko sa tiktok yung color blackgray na kahit lagyan mainit di natutunaw buset low quality at its finest,Negative,Neutral
recieved orders well packaged kaya lang medyo may damaged ung isang bra pero since mabait naman talaga si seller ok narin it will not affect to wear this bra anyways next time nalang sis sana di ma doble ang colors hehehe will order again,Neutral,Positive
una maganda sya kaso pag natagalan na hindi na sya umi iikot masydo kay need mo pa syang kunin pra mag forward sya nakaka kuha dumi pero not,Neutral,Negative
wala amoy wala naman laman eh dumating na po well packed hope sna matibay cute ang size nia tama lang sa kwarto ko,Positive,Neutral
wala namang problem sa item at salamat sa freebies,Positive,Negative
you get what you paid for sizing of sole is good but the strap doesn match maluwag siya think ilang suotan lang to pwede na pang jan2 lang sa tabi pacute lang sa picture pero yung lakarang malayo think bibigay to like the color and hindi masakit,Neutral,Negative
thank you so much will order again soon tagal nga lang dumating but its worth it naman thank you,Positive,Neutral
ayos dumating na order natuwa naman si misis dahil di nya alam inorder ko ang gusto nya na sobrang tagal na sa add to cart di pa niya na order nakalimutan na niya ang saya nya kasi all good wlang naging problema wlang damage salamat sa seller at kay,Positive,Negative
very good star lang binigay ko kasi pag straight buhok ko ilang minutes lang balik ulit sa normal,Neutral,Positive
arrived on time complete set of items and okay na rin yung quality except for checkered na manipis and ordinary lot for accommodating,Neutral,Positive
ordered pink pero orange dumating dissapointed ako na nasunod ung order ko but the product is in good condition ok na sa price nya atleast hindi sira at pwedemagamit still ill give star importante ung magagamit ko thank seller,Negative,Neutral
ayun po may mga damage yung iba sana lang wag magkarashes baby slaamat,Neutral,Negative
nagpa pouch pa same price naman sa original price ang mouse pad edi sana wala na lang pouch para maka pil pai design,Neutral,Negative
be responsible sa pagsesecure item pasalamat kayo at working ang item pero napaka walang pagiingat ang pagrerepack sira ang karton am responsible buyer so better be responsible seller,Negative,Positive
dito napo yong order ko salamat po ang ganda lahat kaso kulng isang item conceler,Neutral,Positive
size chart is not accurate size is too small for me para lang siyang so suggest you add one size,Neutral,Negative
okay lang ang pagsulat niya pero nagkalat ang tinta sa loob packaging recommend better packaging kasi hindi rin siya nasa loob plastic whatsoever lilinisin ko nalang,Neutral,Negative
idk nabili ko sa piso sale gumagana naman kaso ilang minuto na ako nagchacharge ganun parin battery percent hindi nadadagdagan minsan lang na dagdag sa loob mins,Negative,Neutral
disappointed pero expected naman haha dahil mura maganda sana pero,Negative,Neutral
ayos namn yung parcel mabilis den dumating kaso kulang yung nadiliver pero bka after days ibabalik namn yung pinambayad kodon sa kulang na binigay ni refund ko nalng good quality nadenn yung nga kulang tlga eh eyeliner yon waiting po ulet ako sa,Neutral,Negative
for its price mura pero ang tela di cotton mukhang mainit sa katawan ito at mukhang madaling masisira di na po ako order ulit hindi po maganda sorry pero mabilis naman po dumating yun item salamat pa din,Negative,Neutral
maayos po ang product ang tagal nga lang bago ma ship ung deliver naman mabilis ung pag hand over lang ni seller sa courier ang matagal inabot halos weeks,Neutral,Negative
good sana kaso sira dumating siguro dapat ibubble wrap man lang para naman secured ang product kasi nag eexpect ang customer,Neutral,Negative
cute and easy to handle photo not related but it is so cute very affordable for its price high quality dalawa yung binili ko tig isa kami boyfriend ko so far matibay naman sya mahirap lang isara sa umpisa pero maganda naman,Positive,Neutral
pang second order na wala paden spatula grabe tipid ni seller,Negative,Positive
really loved this one medyo maluwag lang yung garter pero pwede ko namang palitam para sumakto yung fit bet ko pang bumili other color,Positive,Neutral
verry good sana may pa freebies kahit konti,Neutral,Positive
ang pag cut naman wallpaper brick ay hindi pantay,Neutral,Negative
mali nman yong dumating order ko yong pataas ang dumating pabilog tpos iba din po ang kulay pero mabilis ang shipping,Neutral,Negative
