text,True_Sentiment,Base_Model_Guessed
okay lang ang bilis dumating days lang which is good but kulang yung dumating sakin naka ka sad,Negative,Neutral
super goods ang ganda niya at super bet ko para sa baby girl ko kaso malaki nga lang ung naorder ko na size pero ok thank you seller,Positive,Neutral
good quality mukhang ok naman ang tela smooth and silky sana di madaling mabutas tulad iba na ilang laba lang butas na pero eto mukhang ok naman thank you seller,Positive,Neutral
the product is good sadly yong labas mist is so mahina and humihinto every mins nagtanong pako sa seller if usual lang ba ganto suggest bumili ka nalang good quality wag kana umasa sa cheap product ma didisapoint ka lang,Negative,Neutral
cheese cake cheese donut lahat ulam has generous servings of veggies which is expected,Positive,Neutral
adali masira month lang na gamit on and off na xa,Negative,Neutral
glowing effect got order today forst it was packed well naka bubble wrapped and tried it on arms at super ganda nya may gloeing effect at amoy aloe pa same sa aloe gel na ginagamit ko but its not will be using this for concert,Positive,Neutral
order ko black white dumating all black paayos namn sana hehe,Neutral,Negative
received complete items pero may sira yung fan paano ko to magagamit dahil di ma charge malamang this fan will turn into trash sana bago nyo deliver item nyo check nyo muna if gumagana para naman di masayang mga bayad namin,Negative,Neutral
ang dumi cover blue tpos pgbukas ko may isang rib or bakal na tabingi,Negative,Neutral
seller paki replayan po ako ang dami kong chat walang response item po binayaran ko item lang laman please paki contact ako seller,Neutral,Negative
ito yun first time ko na ma kakuha ganitong item may damage sayang sa pera excited pa naman ako gamitin kaso may butas sa ilalim di man lang na check ni seller bago deliver yun item sobrang,Negative,Neutral
far from the size tag nope inches nag lang ako bumili kaya binili ko pero no way na uulitin pa,Negative,Neutral
first ung box nya hindi ung black which is nakita ko sa reviews na ung box nila is original box na ung black second ung remote nya na intsik which is paano ko naman malalaman alin pipindutin kung intsik sya which is un nga huhulaan ko na lang so far,Neutral,Negative
received the product but so disappointed so with kids hindi yun ang expected kulay ok sana kung nagtanong seller kung ok sakin dinelay nya ship out nag extend ako man nag abiso hindi available yung color,Negative,Neutral
good food lots of choices big space poor customer service watched the servers hand the bill on table next to us can help but overhear the customer saying na hindi pa kami tapos wala pa naman nanghingi nyan same server,Neutral,Negative
receive the item pero bkit maingay para kang nakasakay sa eroplano kpag iopen yun fan,Neutral,Negative
tagal mag served rice rice lang ha,Negative,Neutral
ang ganda rin nito rubber siya pero for me mukhang okay naman yung quality will order again ibang variation naman hehe sa sizing naman na to nagstick lang ako sa size ko tho it depends pa rin siguro sa paa niyo mahaba at payat yung paa so decided not,Positive,Neutral
tagal matuyo di maganda amoy di na sya na tuyo at mabaho walang kulay yung na order ko kahit ilang patong ko sya nilagyan at tagal tlga matuyo until now basa pa den sya na madulas,Negative,Neutral
goods po yung mga bag okay din po ang packaging,Positive,Neutral
purchased bottles yung isa lang ang maayos the other mga gasgas at yung parang rubber straw parang ngatngat sa dulo hindi nman sya buy take,Negative,Neutral
wala amoy wala naman laman eh dumating na po well packed hope sna matibay cute ang size nia tama lang sa kwarto ko,Positive,Neutral
maganda naman yung payong parang di siya masyado durable yung frame niya pero maliit talaga siya and magaan seller,Positive,Neutral
thank you so much will order again soon tagal nga lang dumating but its worth it naman thank you,Positive,Neutral
ayos dumating na order natuwa naman si misis dahil di nya alam inorder ko ang gusto nya na sobrang tagal na sa add to cart di pa niya na order nakalimutan na niya ang saya nya kasi all good wlang naging problema wlang damage salamat sa seller at kay,Positive,Neutral
very good star lang binigay ko kasi pag straight buhok ko ilang minutes lang balik ulit sa normal,Neutral,Positive
manipis sya peru maganda sa paa magaan tsaka malambot swak swak pa sa budget thank you seller and kuya rider,Neutral,Positive
nagpa pouch pa same price naman sa original price ang mouse pad edi sana wala na lang pouch para maka pil pai design,Neutral,Negative
simple love the material exactly the reason ordered this plus the color is very too sayang nga lang kasi dapat large pala binili not medium its kinda small to me but oki nadin kasi its stretchable thank you for the great product will order again,Positive,Neutral
nice it good comfy medyo maliit lang pala yung nakuha kong size haha kala ko sakto lang since maliit lang naman booby ko kaso di siya sakto sa positions so yea pero cute pwede na rin ganito ang magandang gamitin since di siya mafoam ang lightweight lang thank you,Positive,Neutral
just check parcel okay na sana kaso sira pala ung inpods kala ko lowbat lang pero kahit charge na di parin gumagana not expecting much kasi nga siya pero wag naman sanang sira at parang gamit na ung binibigay,Negative,Neutral
ko to inorder dumating na sya nagtataka lang ako kung bakit nakalabas yung sa may bra di manlang tinahi but pa rin,Neutral,Negative
maganda yong item ayaw gumana pindutan for return nabalikan pick up hanggang sa na return,Negative,Positive
super promise ayoko maging pero ambaho nya kase amoy sunog na guma talaga sya iba talaga yung una na freebie sa mommy ko nabangohan ako yung super liit na ariana grande cloud din kaya ako nag order kse madaming compliments akong nakuha pero dissapoint tlaga excited panaman,Negative,Neutral
cute and easy to handle photo not related but it is so cute very affordable for its price high quality dalawa yung binili ko tig isa kami boyfriend ko so far matibay naman sya mahirap lang isara sa umpisa pero maganda naman,Positive,Neutral
okay the quality is okay for its price hindi siya ganun ka kapal pero okay lang given that the price is affordable thank you seller,Positive,Neutral
really loved this one medyo maluwag lang yung garter pero pwede ko namang palitam para sumakto yung fit bet ko pang bumili other color,Positive,Neutral
ibang green yung dumating thought emerald green sya as per pic seller,Neutral,Negative
received items in good condition okay naman dumating lahat ang items complete medyo mahal lang shipping fee seller and shopee,Positive,Neutral
isa pa lang nabibili ko but liking it so far ito ginagamit friend ko kaya napabili din ako kasi maganda and matibay siya kahit washing machine or dryer although hindi talaga dapat ganoon ang way to wash bras but still okay pa din ang quality right color and,Positive,Neutral
