review,label
maganda siya malakas hangin super ganda talaga grabe tapos dinala ko siya sa school dahil hindi ko magagamit sa bahay super ganda nya order na kayo hindi kayo ma bubudol,2.0
pangalawang bote ko na to naubos ko na yung una love the scent at very affordable kaso hindi siya ganun ka long lasting huhu pero pwede naaa,1.0
mali yung size na pinadala wlang coordinate si seller next time kya nga may chat box para mag inform sa customer if may problem sa item hindi yung kayo nag de decide binabayaran yan hindi libre,0.0
unresponsive seller wouldn recommend buying this product ang pangit low quality masya unresponsive pa ang seller unable to return it kasi walang malapit na,0.0
nakakasad lang kasi mali ang kulay na dumating white ang order ko kasi favorite color ko kaso black ang dumating sana next time po check nyo yung items,0.0
good thank you seller maganda naman yung product kaso lang masyadong malaki pala yung but lahat okay naman siya,1.0
ang ganda po quality nya satisfied customer hereeee,2.0
first time ko gumamit fake nails at nagustuhan ko talaga medyo malalaki yung size mga nails pero keri naman madikit din yung glue nadikitan nga pati yung daliri ko,2.0
di gumagana ang data bluetooth at wifi,0.0
masikip yung bra hindi maganda ung quality,0.0
nakaka dis appointed kasi di cya ang size na inorder qu naging,0.0
medyo matibay ayos naman kaso maliit talaga dapat or more pa na increase sa sukat sa original na foot size mo sayang naman pero ok na rin naman papamigay nalang,1.0
nice thank you seller nagustuhan ni mother ko po sana po magtagal worth the price makisbay sa uso,2.0
maganda namann yung shoes kaso yung sole nya di ganun katibay pang lang talaga sya good for pormahan na din pero wag masyado isuot lagi kasi di sya ganun tatagal meaning pweding madaling masira sa mga nag hahanap lang cheap boots pwedi to pero kung gusto mo,1.0
star dahil yung box green is walang bakal sa ilong buong box yun tapos tupi2 yung box at sira di manlang inayos sa susunod paki double check para di kami lugi,0.0
good ok naman siya kasu parang ang sensitive nya pag na sa ears na siya pag bigla mong nahawakan or na touch man lang bigla nalng nag tu turn off yung music meron syang sense of touch hahaha,1.0
received all the items and super duper love all of it specially the nursing bra swaddle and the mosquito net did not expect the mosquito net is that big anyway can wait to use it and to baby to be item was delivered earlier than expected,2.0
early lunch kami kaya konti pa kumakain di pa rin nagbabago masarap pa rin food,2.0
mas maganda ung isa kesa sa inorder ko ngayun pantay ung sound mahina ung kaliwa malakas ung kanan mabilis malowbat ung kaliwa kesa sa kanan gumana sya for me napaka hina sounds nya unlike sa dati wala reng instuctions hahahaha,1.0
nice quality siya and so far ok naman yung air purifier medyo may yupi sa gilid part maayos ang packaging kaso baka sa courier handling na rin sa warehouse nila chinese character lang yung remote so ikaw nalang mag check isa isang button thank you seller and kay kuya rider,1.0
hindi naman photochromic to actually may ganito na ako naiwan ko lang sa bahay yun isa legit na photochromic ito normal lang na eyeglass,0.0
order recieve ok po ung items nka bubble wrap and walang leak bait din ni kuya rider thank you seller order po ako ulit pag naubos worth it ung pesos,2.0
damage item nilagyan nyo sana cartoon sa pagbalot para may support ung package incase mapatungan ung item especially kapag nasa whse na yan disappointed,0.0
well cheap price comes with cheap quality you can really feel na ang cheap dating nya tho love it kasi malambot sya sa paa problema ang inorder ko na size pero ang dumating size or ganto talaga size nya,0.0
connected sa dalawang phone ko iphone and android maganda din tunog nya hindi sabog yun nga lang madali malobat,1.0
tumbler came with broken lid there was missing piece wala yung metal na nakalagay sa butas fixed it na lang instead of returning it ganda naman tumbler really kept water cold for hours,1.0
second time to order in this shop mabilis naman ang shipment bit disappointed mali ung isang order ko yellow bee ang order ko pero orange tiger ang tho pede naman sya ibalik kaso hassle pa at sayang oras rin maasikaso pero ok ang quality sulit na,1.0
hindi naman dumidikit ano ba ito kitchen adhesive walang kwenta sayang lang pera ko tatlo pa naman norder ko di magagamit ok naman yung para sa baby ito lang talaga adhesive na to kahit sa mukha mo ilagay hindi dumidikit,0.0
akala kopa naman magic lip balm di pala para siyang matte at walang naiiwan na stain pag binura asan yung magic dun dami kopa naman binili nakakadry pa lips,0.0
light weight how does this help if wala naman suction such waste of hard earned moneywould there be any replacement for this,0.0
solid to guys ganda product,2.0
nice thank you seller nkaseal pa maganda ang packaging first user que nito hiyang sakin oorder ulit aque,2.0
ung nasa order menu na good for people is not the same viant that you will get worst staff partida may service charge,0.0
so disappointed kasi waited for long time para sa products na to tapos hindi naman pala worth it know na this is dupe lang pero walang wala talaga parang alcohol lang at tubig can even smell the fragrance in it sayang lang ko,0.0
sira ang item bumili pako uli sa shop nila earphones para mapaship bago battery kasi baka daw yun ang sira pero di padin gumana yung phone ibig sabuhin defective yung phone di marefund or mareturn yung item super nakakasama loob sayang pera ko,0.0
maganda sya masasarap ubg mga foods kaso ko naenjoy masyado ubg mga side dishes ung iba but all enjoy,2.0
ok naman bali apat nabili ko kaso yung violet iba yung straw nya pati may kulang na part super tapang nung lasa na galing sa straw nya parang lasang factory kaya di namin iniinumankahit ilang beses namin hinugasan ayaw talaga matanggal but anyways maganda may free sya na stickers,1.0
ok nman kso 34a po order ko dumating 38a,1.0
ko alam bat walng remote,1.0
ang bangoooo ang gandaaa at ang bango fast delivery,2.0
comfy it not mainit sa skin pics and the video is not related sorry thank you so much seller love it super days lang ata na received ko na agad,2.0
ang ganda ang ganda sulit ang pinangbili may camera ang napadala ni seller thank you,2.0
ang tagal bago maideliver and na delay pa yung pag deliver pero mabait naman at ininform ako ni kuya driver manipis lang siya and kulang siya sa paglalagyan ko so bala bibili ulut ako thank you seller,1.0
pang lalaki items na order ang dumating payong na bulaklak,1.0
mgnda cya kaso ung packaging nka bubble wrap buti na damage or nabsag ang dumi pa package nya sa labas,1.0
thank you seller ganda tela malambot,2.0
shipped immediately and well packed may bag din na kasama maganda yung quality and seems maganda pang camping or for outdoor chair worth it din sa price nya,2.0
tried it first before rating intense at first thought there wasn much but when checked the filter grabe ang galing tho the vacuum is little noisy but it is effective,2.0
not sure kasi pina order yan sakin so hndi po ako ang gumamit ginawa cya gift kaya wla ako maayos na review,1.0
very poor akala ko pouch pero hindi fake yan wag kayo oorder dito halagang sticker binigay grabe,0.0
not good tumitigas ung nail folish fake xa mantsa pa sa kuko,0.0
maganda naman sya sa price nya sakto lang din ung size sakin di pwedeng lagyan insole lalo na kung or ung insole kakayanin mga lang pwede about sa appearance nya feel ko isang kalmot pusa ko gasgas agad ingatan nalang siguro,1.0
ok nman sya maganda yung product kaso lang yung kulay tumbler na pinili ko ay di tama but it ok kasi sa kulay lang naman nagkamali magagamit din naman namin ang tumbler and thank you to this shop kasi affordable lang ang kanilang mga product,1.0
sobrang bilis delivery or days lang ata to think na overseas sya galing maganda yung product sobrang laking tulong para sa project ko sa school,2.0
ang ganda thank you seller,2.0
salamat salamat salamat seller ang ganda ganda tsinelas salamat din kuya rider god bless you more sale till next transaction,2.0
properly packaged siya at secured naman hindi pa namin natatry gamitin pero sana effective siya thank you so much seller,2.0
di ako sure kung ano ba ung sinasabing pouch kasi eto yung dumating sakin asked the seller pero naman ako inasikaso sana sumagot man lang si sellr to explain,0.0
good quality maganda yung item and mabilis maship at dumating responsive din si seller recommended tong shop nato,2.0
manipis ang tela nung january ko pa inorder ngayong february lang dumating agad shinip seller pa nagrereply will not order again,0.0
maganda po cia kaya lang po ung mga sticker nia ayaw mga dumikit,2.0
okay naman maayos dumating pic bago send salamt po sakto lang sa presyo,2.0
okay naman ang scent and sa long lasting sakin tumatagal naman atleast pang buy kona to triny ko muna yung saka ako bumili nito and super okay naman for the price,2.0
very fast transaction ordered shipped received ang cute niya tapos yung quality is nice naman lalo na for its price friends saw it and they thought na it real lol sa sizes lang talaga nagkakaproblem and natatanggal tanggal siya but still so excited to wear other,2.0
hindi naman po ako man loloko ano po makukiha ko sa panloloko maam sir pinagipunan po namin ang pera para sa pag bili tapos yan lang rejected na agad consinqman po kayo pwede po tayo mag communicate properly para ma resolve hindi yung rejected na agad hahay,0.0
napakasaya ko saktong sakto sa mga baby ko finally nakahanap din shop na tama size sa aking mga bebe napakabilis dumating at goodquality ang shoes pag dating,2.0
not good hindi maayos ang pagkagawa mas bulky ang loob kesa sa labas,0.0
ok naman pero may crack yung ilaw kasi packaging was not good sana ayusin ni seller ang mga next na parcel nya para walang na cra crack,1.0
good food nag ask ako which is best seller tas sabe lahat daw best seller anyways sarap naman,2.0
ordered pouch pero yung dumating dalawa lang so disappointing lang kasi ayaw mag reply seller kung may concern ka sa kanila ka dismaya lang official store pa naman sana,0.0
okay na sana maganda packaging at safe na safe pag dating kaso wrong items yung naibigay saken yung inorder ko kase is yung malaki yung remote niya yung marame yung pindutan kaso ayan yung naibigay saken pero okay naman siya ngalang ayaw umilaw color red pag pinindot namamatay,1.0
second order ko na to and still verry much satisfied matibay din cya,2.0
nakakatuwa sya may kalaro na yung pusa namin wish ko lang na magtagal good job seller buy again para sa in laws,2.0
ok naman medyo maliit sa paa pero ok na add size hehe thank you,1.0
parang water hindi naman sya long lasting pero worth it naman dhil mabango,1.0
okay nman wla nman damage kaso di nman nasunod ung color na gusto ko black order ko bracket pero white pinadala nyo di nagrereply si seller,0.0
