Similarity Score,Original Sentence (Keep),Duplicate Sentence (Remove)
0.8767,ask ko lang po bakit naiwan sa ulan yung parcel ko kaya tuloy wasak yung box,ang tanong ko po is bakit pinabayaan sa ulan yung order ko kaya tuloy sira yung box
0.8770,sobrang disappointed ako kasi karton lang yung laman nung balot nung binuksan ko,sobrang disappointed ako kasi durog yung salamin nung inopen ko yung box
0.8715,ask ko lang po if bakit walang laman yung parcel ko na nadeliver kanina,pakisagot naman po kung bakit walang laman yung parcel ko pag dating dito
0.8940,scam yata yung flash sale niyo kasi nung checkout ko biglang nagbago yung price,scam yung flash sale niyo kasi pag dating sa checkout biglang naging original price ulit
0.8892,hindi ako makapaniwala na nakuha ko agad yung item wala pang 24 hours nadeliver na,hindi ko inexpect na matatanggap ko agad yung parcel within 24 hours
0.9296,bilis nadeliver nung parcel parang express delivery talaga yung nangyari sa order ko,mabilis talaga nadeliver parang express shipping yung nangyari sa order ko
0.8659,bilis talaga nung process ship out agad ni seller kaya nakuha ko na agad today,mabilis na ship out ni seller kaya nareceive ko agad ngayon
0.8538,maraming salamat seller at rider sa sobrang bilis na delivery nung parcel ko,salamat seller at sa rider dahil naingatan ang item ko nadeliver ng maayos
0.8875,maraming salamat seller at rider sa sobrang bilis na delivery nung parcel ko,thank you seller at sa rider dahil naingatan ang parcel ko kanina
0.8529,maraming salamat seller at rider sa sobrang bilis na delivery nung parcel ko,mabilis dumating yung parcel thanks rider at seller
0.8560,maraming salamat seller at rider sa sobrang bilis na delivery nung parcel ko,dumating na yung order ko salamat rider at seller sa mabilis na delivery service
0.8933,grabe yung gulo sa loob nung parcel kasi basag lahat nung eyeshadow powder,sobrang dumi nung parcel kasi sabog na yung powder nung eyeshadow sa loob
0.8599,worry ako nung una tas totoo nga na basag yung makeup pag dating dito,worry ako nung una tas totoo nga na yupi yung mga lata nung nakuha ko kanina
0.8527,worry ako nung una tas totoo nga na basag yung makeup pag dating dito,worry ako nung una tas totoo nga na sira yung ilaw nung nakuha ko kanina
0.8585,wag masyadong mataas expectation kasi sakto lang yung material sa price nya,sakto lang sa presyo wag mag expect ng sobrang high quality na item
0.8607,nakuha ko na yung parcel ko at napaka secured nung mga kape walang tapon,nakuha ko ang parcel na walang kulang at napaka secured ng packaging
0.9817,bilis ng ship out kahapon ko lang inorder nakuha ko na agad kanina ang aga dumating,bilis ng ship out kahapon ko lang inorder nakuha ko na agad ngayon ang aga
0.9142,salamat sa mabilis na delivery as in nadeliver agad yung parcel bago pa maubusan,salamat sa mabilis na delivery as in nadeliver agad yung parcel bago mag school
0.8727,satisfied buyer here kasi nakuha ko ng maayos yung parcel at walang damage,satisfied buyer here kasi nakuha ko ng maayos yung parcel at swabe yung pindutan
0.9494,satisfied buyer here kasi nakuha ko ng maayos yung parcel at walang damage,satisfied buyer here kasi nakuha ko ng maayos yung parcel at walang kahit anong gasgas
0.9105,bilis talaga nadeliver nung parcel parang kidlat lang nadeliver na agad today,bilis talaga nadeliver nung parcel parang kidlat lang dumating agad today yung mouse
0.9114,hi seller paki check naman yung stock niyo kasi parang fake na yung nakuha ko ngayon,hi seller paki check naman yung stock niyo kasi parang fake yung ilaw neto
0.8539,hi seller paki check naman yung stock niyo kasi parang fake na yung nakuha ko ngayon,hi seller paki check naman yung stock niyo kasi parang luma na yung mga folders
0.8530,hi ask ko lang ilang days mapapalitan tong wrong size na nadeliver niyo kanina,hi ask ko lang ilang days mapapalitan tong sira ang rgb na nadeliver niyo
0.8580,paki report yung seller kasi ayaw makipag usap tungkol sa maling size na pinadala,paki report yung seller kasi ayaw makipag usap tungkol sa sirang items nadeliver
0.8783,pwede na to sa presyo nya kaysa bumili ng original na mahal halos parehas lang naman,pwede na to sa presyo nya kaysa bumili ng original na mahal ang paper quality
0.9412,medyo manipis sya kesa sa dati kong ginagamit pero pwede na rin pagtiyagaan,medyo maikli sya kesa sa dati kong ginagamit pero pwede na rin pagtiyagaan
0.8519,medyo manipis sya kesa sa dati kong ginagamit pero pwede na rin pagtiyagaan,medyo manipis sya kesa sa dati kong ginagamit pero pwd na rin s price nya
0.9726,bakit walang kulay tong order ko paki double check naman next time sa testing,bakit walang tinta tong order ko paki double check naman next time sa testing
0.8857,paki report yung seller kasi ayaw makipag usap tungkol sa sirang rgb nung item,paki report yung seller kasi ayaw makipag usap tungkol sa sirang items nadeliver
0.8575,okay naman sya para sa presyo nya pero sobrang iksi lang talaga nung wire,okay naman sya para sa presyo nya pero manipis lang talaga yung pages neto
0.9078,sobrang lala nung damage nung box pati yung mga papel sa loob nayupi na rin,sobrang lala nung damage nung box pati yung paso sa loob nadurog na rin
0.8518,thank thank seller bilis nadeliver nung code as in pagbayad ko may notification na agad,thank thank seller kasi pumasok na agad yung subscription code na inorder ko
0.8764,highly recommended tong shop na to kasi napaka bilis mag send nung load,highly recommended tong shop na to kasi ang bilis mag ship out kahit sale nung inorder ko
0.8693,highly recommended tong shop na to kasi napaka bilis mag send nung load,highly recommended tong shop na to ang bilis mag ship out ng order ko
0.8534,bakit used na agad yung code nung niredeem ko paki check naman yung binigay niyo,bakit po used na ang nakalagay paki palitan naman tong code na nakuha ko
0.9873,paki report yung courier kasi hindi man lang iningatan yung parcel wasak yung paso,paki report nmn yung courier dahil hindi man lang iningatan yung parcel wasak
0.9082,paki report yung courier kasi hindi man lang iningatan yung parcel wasak yung paso,paki report nmn yung courier dahil hindi man lang iningatan yung mga bote wasak tuloy
0.9047,thank thank seller gustong gusto ng mga alaga ko yung dog food niyo ubos agad,thank thank seller gustong gusto ng aso ko yung bagong dog food na to
0.8862,ordered complete and fast on delivery nagustuhan nung pet ko yung flavor salamat,ordered complete and fast on delivery nag-enjoy si doggie sa lasa salamat
0.8668,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,thanks seller sa mabilis na ship out nakuha ko agad yung parcel
0.8668,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,thanks seller sa mabilis na ship out nakuha ko agad yung parcel
0.8685,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,thank you seller sa mabilis na ship out nakuha ko agad
0.8586,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,salamat po seller sa mabilis na ship out nakuha ko agad order ko
0.8685,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,thank you seller sa mabilis na ship out nakuha ko agad
0.8562,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,thank you seller sa mabilis na ship out nakuha ko agad order ko
0.8739,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,salamat po seller sa mabilis na ship out nakuha ko agad
0.8586,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,salamat po seller sa mabilis na ship out nakuha ko agad order ko
0.8702,salamat seller kasi mabilis na ship out kailangan na talaga nung mga furbaby ko,thank you seller sa mabilis na ship out sakto sa paggawa ko
0.8627,pakisagot po if ganito ba talaga ka-tapang yung amoy nung kibble niyo nakakahilo,pakisagot po if ganito ba talaga ka-tapang yung amoy nung rubber nung mat niyo
0.9308,pakisagot po if ganito ba talaga ka-tapang yung amoy nung kibble niyo nakakahilo,pakisagot nmn po if ganito ba talaga ka-tapang yung lasa neto nakakahilo
0.9545,scam yung high quality na description kasi amoy mumurahing sawdust lang yung laman,scam yung high quality na description kasi amoy mumurahing goma lang yung material
0.9035,salamat lazada at kay kuyang delivery kasi mabilis nadeliver kahit mabigat yung parcel,thank you lazada at kay kuyang delivery selyadong selyado yung parcel nung dumating sakin
0.8690,ang tanong ko lang is bakit ganito ka-tapang yung amoy nung rubber nadeliver niyo,ang tanong ko lang is bakit amoy luma na goma na may kemikal tong mattress niyo
0.8825,disappointed ako kasi sa picture malaki tignan pero sa personal sobrang liit,disappointed ako kasi sa picture mukhang mataba pero sa personal parang papel lang yung kapal
0.9091,nakuha ko na yung parcel at sobrang secured nung pagkakabalot ni seller,nakuha ko na yung parcel at safe na safe ang packaging ni seller
0.8882,nakuha ko na yung parcel at sobrang secured nung pagkakabalot ni seller,received na ang parcel at napaka secured ng packaging ni seller
0.8784,nakuha ko na yung parcel at sobrang secured nung pagkakabalot ni seller,received ko na yung parcel at maayos naman ang pagkaka pack ni seller
0.8517,next time bibili ako nung ibang colors para laging bago yung porma nya,will buy again ibang kulay naman para may kapalitan ako pag nadumihan
0.8509,mabilis nadeliver yung parcel at ang cute nung pagkaka print nung pattern,mabilis nadeliver yung parcel at ang ganda nung kinalabasan nung linis
0.8942,ang tanong ko lang is bakit hindi man lang selyado yung valve kaya laging may leak,ang tanong ko lang is bakit hindi man lang selyado yung dulo kaya laging may leak yung hose
0.8582,bibili ako sa susunod kasi ang daling ikabit tas hindi sya bumibitaw sa wall,bibili ako sa susunod kasi ang gaan dalhin pero matibay pag nakabit na sa wall
0.8625,thank thank seller sobrang bright nung white light neto nakaka gising ng diwa,thank thank seller dahil napaka-bright neto saktong sakto pang-vlog sa gabi
0.8873,thank thank seller ang ganda nung bedsheet napaka lambot sa balat sarap matulog,thank thank seller ang ganda nung towel sobrang absorbent nya tuyo agad ang balat
0.8647,ordered complete and fast on delivery cotton na cotton yung fabric worth it ang pagbili,ordered complete and fast on delivery ang ganda nung bagsak nung tela worth it ang pambili
0.8682,ordered complete and fast on delivery cotton na cotton yung fabric worth it ang pagbili,ordered complete and fast on delivery bilis makatuyo nung tela worth it ang pagbili
0.8663,nakuha ko na yung order ko at sobrang satisfied buyer here dahil sa lambot nung material,nakuha ko na yung order ko at sobrang satisfied buyer here dahil sa bilis nung net
0.9041,nakuha ko na yung order ko at sobrang satisfied buyer here dahil sa lambot nung material,nakuha ko na yung order ko at sobrang satisfied buyer here dahil sa tibay neto
0.8500,nakuha ko na yung order ko at sobrang satisfied buyer here dahil sa lambot nung material,nakuha ko na yung parcel at sobrang satisfied buyer here dahil sa lambot nung cotton
