review,True_Sentiment,Model_D_Error_Guess
oil order received matagal na ship out at di sya ganun kaamoy cloud but understandable naman for its price kaya nagulat ako bat ang mura tumatagal naman yung amoy sa damit thank you seller at kay rider,Positive,Neutral
oily but little bit of watery grabe first time ko bumili sa shop na to but they didn disappoint me napakabango cloud nila sana pala bottles na binili ko will buy again soon,Positive,Negative
for me di naman masiado nakaka kuha dumi pati mga buhok aso nya kaya sa video ung dating deerma na vacuum ko mas better ba as seen on the video di siya okay for me thums down,Negative,Neutral
dont think the color is maroon think its red but it okay naman no defects,Neutral,Negative
recieved the product kaso wlang remote sa ad niya with remote sana klarohin sa seller pra nman hindi mag expect ang customer,Neutral,Negative
pang second time ko umorder wifes nato maganda siya gmit slmat seller slamt rider matulin siyang dumting,Positive,Negative
okay naman ang earphone disappointed naman sa smart watch,Neutral,Negative
mesh yung upper part shoes mabilis si seller at shipping salamat,Positive,Neutral
good kararating di ko pa sya natty kasi wala battery sana effective at matagal gamitin seller kay kuya rider,Positive,Neutral
glowing effect got order today forst it was packed well naka bubble wrapped and tried it on arms at super ganda nya may gloeing effect at amoy aloe pa same sa aloe gel na ginagamit ko but its not will be using this for concert,Positive,Neutral
bilis dumating super kaso ampanget nung packaging halos bukas na yung box tapos nagsstuck dun sa clip yong bottom part nong lens pero ayos naman siguro waha,Neutral,Negative
pweden cya price manipis eh ang bilis din nagdeliver,Neutral,Negative
ang ganda product na natanggap ko at ang bilis din delivery but may problema ung order ko ordered items pero recieved only items sana maideliver ung kulang na item sayang din kasi nabayadan ko na kaya please seller sana maideliver sakin ung kulang na,Neutral,Positive
okay but for calls tried for refund but can prove it naman pag yung mic may sira tried with different people to call me di gumagana yung microphone di nila ako naririnig may ingay daw even though nasa quiet place ako,Neutral,Negative
random disappointed kasi hindi nasunod yung color na order ko buti na lang mabait yung nagpaorder kaya pumayag wala naman ako prob sa quality kaya lang sana inote yung order ni buyer kung wala sa selection yung order since may sumasagot naman agad sa thank you anyway,Neutral,Negative
hello seller mali yung kulay na dumating sken ang kulay na order ko blue orage pero ang dumating color gray,Neutral,Negative
first ung box nya hindi ung black which is nakita ko sa reviews na ung box nila is original box na ung black second ung remote nya na intsik which is paano ko naman malalaman alin pipindutin kung intsik sya which is un nga huhulaan ko na lang so far,Neutral,Negative
hello items received complete and correct sizes and variation yung sandals na plum at white wag kayong mag add size hehe over all maganda seller sa uulitin,Positive,Neutral
maluwag yung strap nung kanan kaya hindi ko rin mailakad maayos akala ko nung una deformed lang pero mas mahaba pala yung strap kanan kaysa kaliwa sana naman dinouble check quality ayaw ko na rin iparefund kasi naredeem ko na rin coins so di na mababalik yun,Neutral,Negative
good food lots of choices big space poor customer service watched the servers hand the bill on table next to us can help but overhear the customer saying na hindi pa kami tapos wala pa naman nanghingi nyan same server,Neutral,Negative
receive the item pero bkit maingay para kang nakasakay sa eroplano kpag iopen yun fan,Neutral,Negative
may pagka alcohol yung amoy tapos parang may goma na amoy lalo yung vanillas idk di ko ma explain amoy nilang tatlo pare pareho konti difference but its good na for pesos may ka na oil based perfume pero if ur looking for perfume na head,Neutral,Negative
recieved orders well packaged kaya lang medyo may damaged ung isang bra pero since mabait naman talaga si seller ok narin it will not affect to wear this bra anyways next time nalang sis sana di ma doble ang colors hehehe will order again,Neutral,Positive
im fanatic when it comes to pares ima rate it star pares was mass produced cooked so tastewise nakakabitin yung lasa nya years ago it was pesos now its pares with rice other pares shops have renovated the original pares its still the original cos it was,Neutral,Negative
okay siya bago masulat at magandang gamitin sa eyelashes pinapakapal at pinapahaba thank you seller,Positive,Neutral
awesome ok sya fast charging talaga well depende sa adaptor nyo haha pero akin true fast charging sya kasi pin not unlike sa iba na wire yung lang po overall maganda sya at mura lang pagka kuha ko,Positive,Neutral
black white black ok isuot nakakarelax paa malambot ang guma overall ok siya thank you seller,Positive,Neutral
una maganda sya kaso pag natagalan na hindi na sya umi iikot masydo kay need mo pa syang kunin pra mag forward sya nakaka kuha dumi pero not,Neutral,Negative
may magagamit na ako sa pagchicheck outputs students ko sa google classroom,Positive,Neutral
wala amoy wala naman laman eh dumating na po well packed hope sna matibay cute ang size nia tama lang sa kwarto ko,Positive,Neutral
ang soft and napakastandard pagkakagawa napakalong lasting lip therapy na ito napakasmooth pa sa labi,Positive,Negative
wala namang problem sa item at salamat sa freebies,Positive,Negative
maganda yung item wala namang sira medyo manipis lang yung foam nung higaan compare sa picture niya pero maayos naman akala ko rin may dalawang unan pa sa gilid maayos din yung packaging worth it naman sa presyo kahit paano salamat sa seller may less din siya nung bumili ako,Positive,Neutral
you get what you paid for sizing of sole is good but the strap doesn match maluwag siya think ilang suotan lang to pwede na pang jan2 lang sa tabi pacute lang sa picture pero yung lakarang malayo think bibigay to like the color and hindi masakit,Neutral,Negative
thank you so much will order again soon tagal nga lang dumating but its worth it naman thank you,Positive,Neutral
ayos dumating na order natuwa naman si misis dahil di nya alam inorder ko ang gusto nya na sobrang tagal na sa add to cart di pa niya na order nakalimutan na niya ang saya nya kasi all good wlang naging problema wlang damage salamat sa seller at kay,Positive,Negative
arrived on time complete set of items and okay na rin yung quality except for checkered na manipis and ordinary lot for accommodating,Neutral,Positive
ayun po may mga damage yung iba sana lang wag magkarashes baby slaamat,Neutral,Negative
hahah ang laki pala nya super gagamitin kasi namin to for training kaya malaki inorder namin infairness kahit walang box secure naman sya wala ding basag at may mga free sticker pa salmat shopee,Positive,Negative
order ko na pero di ko nagustuhan yung strap di sia adjustable sa mahimulmol din pero kayang gawan paraan di gaya nung una maganda talaga,Neutral,Negative
okay lang ang pagsulat niya pero nagkalat ang tinta sa loob packaging recommend better packaging kasi hindi rin siya nasa loob plastic whatsoever lilinisin ko nalang,Neutral,Negative
very secured ang packaging maraming wraps bubble wrap dumating din naman agad medyo hassle lang na chinese yung remote control nagsabi na rin kase ako sa seller na english remote control pero yun pa rin pinadala hopefully makatulong sa bahay namin,Positive,Neutral
ko to inorder dumating na sya nagtataka lang ako kung bakit nakalabas yung sa may bra di manlang tinahi but pa rin,Neutral,Negative
ayos namn yung parcel mabilis den dumating kaso kulang yung nadiliver pero bka after days ibabalik namn yung pinambayad kodon sa kulang na binigay ni refund ko nalng good quality nadenn yung nga kulang tlga eh eyeliner yon waiting po ulet ako sa,Neutral,Negative
ok naman sana kaso damage yung items tsaka sobrang sumakit yung paa ko sobrang lambot niya grabe no for this but pa din po,Neutral,Negative
so far so good not tested yet but might edit this later order on shopee,Positive,Neutral
for its price mura pero ang tela di cotton mukhang mainit sa katawan ito at mukhang madaling masisira di na po ako order ulit hindi po maganda sorry pero mabilis naman po dumating yun item salamat pa din,Negative,Neutral
this store deserve 5star ganda product nila and the quality hindi kayu mag sisisi,Positive,Neutral
conplete parts maganda sya malaki at mukhang matibay naman sana tumagal gift ko sa bunso ko,Positive,Neutral
maayos po ang product ang tagal nga lang bago ma ship ung deliver naman mabilis ung pag hand over lang ni seller sa courier ang matagal inabot halos weeks,Neutral,Negative
cute and easy to handle photo not related but it is so cute very affordable for its price high quality dalawa yung binili ko tig isa kami boyfriend ko so far matibay naman sya mahirap lang isara sa umpisa pero maganda naman,Positive,Neutral
really loved this one medyo maluwag lang yung garter pero pwede ko namang palitam para sumakto yung fit bet ko pang bumili other color,Positive,Neutral
quite disappointed with the colors di siya same sa photos as in big difference and sobrang light basta iba consistency only this color is ok for me,Negative,Neutral
good food but loud music sounds that made the cashier voice raise while asking the orders we re all wearing mask plus loud music that made me irritated kaya nagulat kami na yung food na pinapaserve namin sinama sa mga pinatake out namin hindi naintindihan cashier,Neutral,Negative
mali nman yong dumating order ko yong pataas ang dumating pabilog tpos iba din po ang kulay pero mabilis ang shipping,Neutral,Negative
received items in good condition okay naman dumating lahat ang items complete medyo mahal lang shipping fee seller and shopee,Positive,Neutral
