text,True_Sentiment,Model_D_Guessed
thank you so much for your products pakiayos lang yung packaging wag masyado mag expect sa boxes nila as in kundi yupi sira naman kaya please paki ayos po para ka aya aya tingnan sa mga buyers,Neutral,Negative
oily but little bit of watery grabe first time ko bumili sa shop na to but they didn disappoint me napakabango cloud nila sana pala bottles na binili ko will buy again soon,Positive,Neutral
kala ko may pang scoop wala pala and nahawa sya sa mask and hindi sya longlasting kunting kain mo namumuo na sa labi pero mabilis yung shipping process,Neutral,Negative
dont think the color is maroon think its red but it okay naman no defects,Neutral,Negative
recieved the product kaso wlang remote sa ad niya with remote sana klarohin sa seller pra nman hindi mag expect ang customer,Neutral,Negative
bilis dumating super kaso ampanget nung packaging halos bukas na yung box tapos nagsstuck dun sa clip yong bottom part nong lens pero ayos naman siguro waha,Neutral,Negative
ang ganda product na natanggap ko at ang bilis din delivery but may problema ung order ko ordered items pero recieved only items sana maideliver ung kulang na item sayang din kasi nabayadan ko na kaya please seller sana maideliver sakin ung kulang na,Neutral,Positive
okay but for calls tried for refund but can prove it naman pag yung mic may sira tried with different people to call me di gumagana yung microphone di nila ako naririnig may ingay daw even though nasa quiet place ako,Neutral,Negative
really perfect that came up with this hindi na hassle maglagay highlight sa inner corner eye for the effecf excited to use it,Positive,Neutral
first ung box nya hindi ung black which is nakita ko sa reviews na ung box nila is original box na ung black second ung remote nya na intsik which is paano ko naman malalaman alin pipindutin kung intsik sya which is un nga huhulaan ko na lang so far,Neutral,Negative
receive the item pero bkit maingay para kang nakasakay sa eroplano kpag iopen yun fan,Neutral,Negative
nakakakaba kasi parang mabilis siyang masira tipid sa bubble wrap kahit nag request na ko sa seller to secure order yung sa bandang phone holder yung bandang suotan eh wala nung para sa turnilyo useless yung isang pampaikot holder good thing ayun umiilaw naman siya sana magtagal,Neutral,Negative
recieved orders well packaged kaya lang medyo may damaged ung isang bra pero since mabait naman talaga si seller ok narin it will not affect to wear this bra anyways next time nalang sis sana di ma doble ang colors hehehe will order again,Neutral,Positive
